Country;Statement1;Statement2;Statement3;Statement4;NeighboringCountry
Austria;[FUNFACT]<b>Tiergarten Schönbrunn</b> in my capital Vienna is the oldest zoo in the world;[LANDMARK]<b>Schönbrunn Palace</b> in my capital Vienna was build in 1696;[FLAG]My Flag Looks Like:;[FOOD]My favorite food is a <b>Wiener Schnitzel</b>;Germany, Czech Republic, Slovakia, Hungary, Slovenia, Italy
Belgium;[FUNFACT]The <b>capital of the European Union</b>, Brussels, is in my country;[LANDMARK]The <b>Atomium</b> in my capital Brussels was built for the 1958 World Exhibition;[FLAG]My Flag Looks Like:;[FOOD]My favorite food is <b>Waffels</b>;The Netherlands, Germany, Luxembourg, France
Bulgaria;[FUNFACT]The <b>oldest gold treasures</b> are 6000 years old and were found in my country;[LANDMARK]The <b>Rila Monastery</b> is in the mountains of one of my country's national parks;[FLAG]My Flag Looks Like:;[FOOD]My favorite food is a <b>Shopska Salad</b> (cold salad with vegetables);Romania, Greece
Croatia;[FUNFACT]My country <b>invented the tie</b>, worn by soldiers before it became a fashion trend;[LANDMARK]One of my country’s national parks, <b>Plitvices Lake</b>, has over 90 waterfalls;[FLAG]My Flag Looks Like:;[FOOD]My favorite food is a <b>Ćevapčići </b>;Slovenia, Hungary
Cyprus;[FUNFACT]My country is <b>divided into two parts</b>, A turkish and an European Union side;[LANDMARK]<b>Paphos Castle</b> was built to protect my country from attacks and pirates;[FLAG]My Flag Looks Like:;[FOOD]My favorite food is a <b>Meze</b> (a selection of small dishes);Greece
Czech Republic;[FUNFACT]My country has the <b>oldest astronomical clock</b>, still ticking in Prague today;[LANDMARK]The <b>Charles Bridge</b> in my capital Prague took 45 years to be built;[FLAG]My Flag Looks Like:;[FOOD]My favorite food is <b>Vepro knedlo zelo</b> (roast pork, dumpling, sauerkraut);Germany, Poland, Slovakia, Austria
Denmark;[FUNFACT]I have the <b>world’s oldest amsument park</b> called Dyrehavsbakken;[LANDMARK]The <b>Little Mermaid</b> is a small statue inspired by a fairy tale from my country;[FLAG]My Flag Looks Like:;[FOOD]My favorite food is a <b>Smørrebrød</b> (butter bread);Germany, Sweden
Estonia;[FUNFACT]Since 2010, my country has made <b>internet access a basic right</b> for everyone;[LANDMARK]<b>Tallinn’s Town Hall</b> is the oldest town hall in the Baltic States and Scandinavia;[FLAG]My Flag Looks Like:;[FOOD]My favorite food is a <b>Verivorst</b> (blood sausage);Latvia, Sweden, Finland
Finland;[FUNFACT]On average <b>less than one person per football</b> field lives in my country;[LANDMARK]</b>Suomenlinna<b> is a sea fortress near my capital Helsinki;[FLAG]My Flag Looks Like:;[FOOD]My favorite food is a <b>Ruisleipä</b> (rye bread);Sweden, Estonia
France;[FUNFACT]My country’s <b>military still uses carrier pigeons</b>, making it unique in Europe;[LANDMARK]The <b>Eiffel Tower</b> was a present for my country for the 1889 World Exhibition;[FLAG]My Flag Looks Like:;[FOOD]My favorite food is <b>Cheese</b>;Belgium, Luxembourg, Germany, Italy, Spain, Ireland
Germany;[FUNFACT]My country invented the <b>Ampelmann</b>, a famous traffic light figure;[LANDMARK]The <b>Brandenburg Gate</b> in my capital Berlin stands as a symbol of unity;[FLAG]My Flag Looks Like:;[FOOD]My favorite food is <b>Bread</b>;Denmark,The Netherlands, Belgium, Luxembourg, France, Austria, Czech Republic, Poland
Greece;[FUNFACT]My <b>national anthem is the longest</b> in the world, with 158 verses;[LANDMARK]The <b>Acropolis</b> in my capital Athens shows the power of an ancient civilisation;[FLAG]My Flag Looks Like:;[FOOD]My favorite food is a <b>Moussaka</b> (eggplant, ground meat);Bulgaria, Cyprus
Hungary;[FUNFACT]The <b>Rubik’s Cube</b> was invented by an architecture professor from my country;[LANDMARK]The <b>Parliment Building</b> in my capital Budapest is a huge palace by the river;[FLAG]My Flag Looks Like:;[FOOD]My favorite food is a <b>Gulyásleves</b> (goulash soup);Slovakia, Romania, Croatia, Slovenia, Austria
Ireland;[FUNFACT]<b>Halloween</b> started from an ancient Celtic festival that began here long ago;[LANDMARK]The <b>Cliffs of Moher</b> in my country rise vertically from the Atlantic ocean;[FLAG]My Flag Looks Like:;[FOOD]My favorite food is a <b>Shepherd’s Pie</b>;France
Italy;[FUNFACT]My country has more <b>UNESCO World Heritage Sites</b> than any other;[LANDMARK]The arena of the <b>Colosseum</b> can still be visited today in my country;[FLAG]My Flag Looks Like:;[FOOD]My favorite food is <b>Pizza</b> or <b>Pasta</b>;France, Austria, Slovenia, Malta
Latvia;[FUNFACT]The EU’s <b>widest waterfall</b> is called Ventas Rumba and is in my country;[LANDMARK]My capital <b>Riga’s Old Town</b> is lively and colourful and exists since 1225;[FLAG]My Flag Looks Like:;[FOOD]My favorite food is <b>Pelēkie zirņi ar speķi</b> (grey peas with bacon);Estonia, Lithuania
Lithuania;[FUNFACT]I have my own <b>national perfrume</b> since 2010;[LANDMARK]<b>Trakai Island Castle</b> was build in the 14th century in my country;[FLAG]My Flag Looks Like:;[FOOD]My favorite food is <b>Cepelina</b> (potato dumplings, ground meat);Latvia, Poland
Luxembourg;[FUNFACT]My country was the first to provide <b>free public transport</b> nationwide;[LANDMARK]My country’s monarchs still live in the <b>Grand Ducal Palace</b> today;[FLAG]My Flag Looks Like:;[FOOD]My favorite food is <b>Judd mat Gaardebounen</b> (pork collar, beans);Belgium, Germany, France
Malta;[FUNFACT]My Capital Valletta is the <b>smallest EU capital</b> by area, not by population;[LANDMARK]The <b>Blue Grotto</b> is a sea cave on the east side of my country;[FLAG]My Flag Looks Like:;[FOOD]My favorite food is a <b>Stuffat tal-fenek</b> (rabbit stew);Italy
The Netherlands;[FUNFACT]My country’s <b>anthem is 400 years old</b>, making it the oldest in the world;[LANDMARK]The <b>Rijksmuseum</b> in my capital Amsterdam displays famous art;[FLAG]My Flag Looks Like:;[FOOD]My favorite food is <b>French Fries</b>;Belgium, Germany
Poland;[FUNFACT]Europe’s <b>first modern constitution</b> was created in 1791 in my country;[LANDMARK]The <b>Wieliczka Salt Mine</b> in the south of my country goes 327 metres deep;[FLAG]My Flag Looks Like:;[FOOD]My favorite food is <b>Pierogi</b> (filled dumplings);Germany, Czech Republic, Slovakia, Lithuania
Portugal;[FUNFACT]The <b>world’s oldest bookstore</b> opened in my capital Lisbon in 1732;[LANDMARK]The <b>Pena Palace</b> in Sintra was the summer palace for my former royal family;[FLAG]My Flag Looks Like:;[FOOD]My favorite food is a <b>Pastel de Nata</b> (egg custard tart pastry);Spain
Romania;[FUNFACT]<b>Count Dracula’s</b> legend began in this country;[LANDMARK]<b>Dracula’s Castle</b> in my country is famous for dark legends and a mysterious past;[FLAG]My Flag Looks Like:;[FOOD]My favorite food is <b>Mămăligă</b> (cooked corn flour);Hungary, Bulgaria
Slovakia;[FUNFACT]<b>Austria and Hungary</b> are within walking distance from my capital Bratislava;[LANDMARK]<b>Bratislava Castle</b> stands on a rocky hill, watching over my capital city;[FLAG]My Flag Looks Like:;[FOOD]My favorite food is <b>Bryndzové Halušky</b> (boild potato dough);Czech Republic, Poland, Hungary, Austria
Slovenia;[FUNFACT]My capitals name Ljubljana translates to <b>„the loved one“</b>;[LANDMARK]<b>Predjama Castle</b> was build inside a cave in the south of my country;[FLAG]My Flag Looks Like:;[FOOD]My favorite food is <b>Ajdovi žganci</b> (mashed Buckwheat);Italy, Austria, Hungary, Croatia
Spain;[FUNFACT]I’m the <b>biggest producer of olive oil</b> in the world;[LANDMARK]The <b>Sagrada Familia</b> in the east of my country is the highest church in the world;[FLAG]My Flag Looks Like:;[FOOD]My favorite food is a <b>Paella</b>;France, Portugal
Sweden;[FUNFACT]<b>Pippi Longstocking</b> comes from my country;[LANDMARK]The <b>Vasa Museum</b> in my capital Stockholm displays a huge battle ship;[FLAG]My Flag Looks Like:;[FOOD]My favorite food is <b>Köttbullar</b>;Finland, Denmark
